quota_index,project_id,total_correspondentes,expected_completes,country,1,16,17,19,2,25,27,profiler1010740,profiler1010744,profiler1010745,profiler1010852,profiler1011135,profiler186,profiler282,profiler702,profiler9
279,155876,0,78,13,18-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,155876,0,52,13,25-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,155876,0,26,13,35-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,155876,0,13,13,45-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,155876,0,13,13,55-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,155876,26,130,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
285,155876,42,62,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
286,155876,1,17,13,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,155876,4,14,13,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,155876,9,9,13,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,155876,4,14,13,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,155876,5,13,13,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,155876,5,13,13,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,155876,2,16,13,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,155876,3,15,13,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,155876,2,16,13,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,155876,6,12,13,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,155876,4,9,13,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,155876,3,10,13,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,155876,5,8,13,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,155876,6,7,13,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,155876,7,6,13,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,155876,2,11,13,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,155871,0,50,19,18-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,155871,0,50,19,26-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,155871,0,50,19,38-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,155871,0,50,19,50-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,155903,26,124,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
331,155903,114,36,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
332,155903,3,96,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
333,155903,19,80,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
334,155903,27,75,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
335,155903,25,5,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
336,155903,59,1,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
337,155903,37,23,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
338,155903,12,48,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
339,155903,5,55,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
340,155903,1,29,15,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
341,155903,0,75,15,18-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,155903,0,75,15,25-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,155903,0,75,15,35-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,155903,0,75,15,55-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,155267,0,4,20,50-99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
349,155267,0,4,20,50-99,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
350,155932,12,738,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
351,155932,69,681,23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
352,155469,2,35,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
353,155943,0,256,17,55-99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
354,155943,0,256,17,55-99,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
